,,,1740264480169,,177,,,0,,,,,,233,31,,,,,,,,,,,
Kickstarter Link,RPGGeek Item ID,RPGGeek Item Link,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,OSR-Core,OSR-Adjacent
"http://www.kickstarter.com/projects/829385949/storyscape-digital-roleplaying-system?ref=bggforums',",item3017114,,https://www.kicktraq.com/projects/829385949/storyscape-digital-roleplaying-system/,RPG,,,STORYSCAPE: Digital Roleplaying System,February 14 2014,Y,USD,"17,002.00",1,Not Funded,N,Y,N,"$17,002",17.00%,Cancelled,0,1613497304586,January 10 2014,"A complete, universal, technology-based roleplaying system designed from the ground up to take the scutwork out of roleplaying.",//s3.amazonaws.com/ksr/projects/681123/photo-small.jpg,,
"http://www.kickstarter.com/projects/2033407677/fall-of-man-a-post-apocalyptic-gothic-horror-fanta?ref=bggforums',",item3025010,,https://www.kicktraq.com/projects/2033407677/fall-of-man-a-post-apocalyptic-gothic-horror-fanta/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Fall of Man - A post apocalyptic-gothic-horror-fantasy RPG,February 16 2014,Y,USD,"8,003.00",1,Not Funded,N,N,N,"$8,003",36.00%,Ended,0,1613497304591,January 14 2014,Fall of Man is a post apocalyptic-gothic-horror-fantasy RPG set on ruined Earth. Pathfinder and other systems compatible.,//s3.amazonaws.com/ksr/projects/743125/photo-small.jpg,,
"http://www.kickstarter.com/projects/sandandsteam/iron-edda-war-of-metal-and-bone-for-fate-coretm?ref=bggforums',",item3024317,,https://www.kicktraq.com/projects/sandandsteam/iron-edda-war-of-metal-and-bone-for-fate-coretm/,RPG,,https://rpggeek.com/rpgsystem/26506/fate-core,Iron Edda: War of Metal and Bone - for Fate Core™,February 16 2014,Y,USD,"19,521.00",1,"19,521.00",Y,N,Y,"$19,521",195.00%,Ended,19521,1613497304590,January 14 2014,Epic Norse Fantasy.  Personal Stories.  Fate Core™,//s3.amazonaws.com/ksr/projects/710770/photo-small.jpg,,
"http://www.kickstarter.com/projects/2080279573/pulse-fantasy-rpg?ref=bggforums',",item3035011,,https://www.kicktraq.com/projects/2080279573/pulse-fantasy-rpg/,RPG,,,Pulse Fantasy RPG,February 16 2014,Y,USD,"2,496.00",1,Not Funded,N,N,N,"$2,496",41.00%,Ended,0,1613497304594,January 17 2014,"Pulse Fantasy is an immersive, dynamic new RPG made by gamers, for gamers with streamlined rules and customizable gameplay.",//s3.amazonaws.com/ksr/projects/829001/photo-small.jpg,,
"http://www.kickstarter.com/projects/793185486/apotheosis-a-legendary-role-playing-game?ref=bggforums',",item3024310,,https://www.kicktraq.com/projects/793185486/apotheosis-a-legendary-role-playing-game/,RPG,,,Apotheosis: A Legendary Role Playing Game,February 17 2014,Y,USD,493.00,1,Not Funded,N,Y,N,$493,6.00%,Cancelled,0,1613497304588,January 13 2014,Apotheosis is a character focused high fantasy RPG with industrial elements using a new system designed for ease & customization,//s3.amazonaws.com/ksr/projects/749010/photo-small.jpg,,
"https://www.kickstarter.com/projects/1588759266/tales-from-the-sands-a-land-of-fire-adventure-pack?ref=bggforums',",item3068127,,https://www.kicktraq.com/projects/1588759266/tales-from-the-sands-a-land-of-fire-adventure-pack/,non-5E,https://rpggeek.com/rpg/286/savage-worlds,,Tales from the Sands - A Land of Fire Adventure Pack,February 18 2014,Y,GBP,"2,265.00",1.66828,"3,778.65",Y,N,Y,"£2,265",226.00%,Ended,3778.65,1613497304572,February 4 2014,"The heroes of old are long dead, but they are far from forgotten.",//s3.amazonaws.com/ksr/projects/377604/photo-small.jpg,,
"http://www.kickstarter.com/projects/200664283/deluxe-anarchs-unbound?ref=bggforums',",item3042129,,https://www.kicktraq.com/projects/200664283/deluxe-anarchs-unbound/,non-5E,https://rpggeek.com/rpg/421/vampire-masquerade,,Deluxe Anarchs Unbound,February 21 2014,Y,USD,"56,731.00",1,"56,731.00",Y,N,Y,"$56,731",141.00%,Ended,56731,1613497304553,January 22 2014,A Deluxe version of V20 Anarchs Unbound hardcover designed to look like a journal carried for decades or even centuries into the fray!,//s3.amazonaws.com/ksr/projects/830311/photo-small.jpg,,
"http://www.kickstarter.com/projects/2075308648/on-the-backs-of-gods-a-pnp-rpg?ref=bggforums',",item3042145,,https://www.kicktraq.com/projects/2075308648/on-the-backs-of-gods-a-pnp-rpg/,RPG,,,On the Backs of Gods: A PnP RPG,February 21 2014,Y,USD,"3,009.00",1,Not Funded,N,N,N,"$3,009",37.00%,Ended,0,1613497304554,January 22 2014,"A brand new PnP game based in a world inhabited by gigantic creatures, and the people who live on their backs.",//s3.amazonaws.com/ksr/projects/839347/photo-small.jpg,,
"http://www.kickstarter.com/projects/kevinkulp/timewatch-gumshoe-investigative-time-travel-rpg?ref=bggforums',",item3038793,,https://www.kicktraq.com/projects/kevinkulp/timewatch-gumshoe-investigative-time-travel-rpg/,RPG,,https://rpggeek.com/rpgsystem/1264/gumshoe,TimeWatch: GUMSHOE Investigative Time Travel RPG,February 21 2014,Y,USD,"105,881.00",1,"105,881.00",Y,N,Y,"$105,881",2647.00%,Ended,105881,1613497304550,January 21 2014,"You've got a time machine, high-powered weapons and a whole lot of history to save. Welcome to TimeWatch!",//s3.amazonaws.com/ksr/projects/752045/photo-small.jpg,,
"http://www.kickstarter.com/projects/danbrink/characters-by-level-and-game-avatars-for-pathfinde?ref=bggforums',",item3045810,,https://www.kicktraq.com/projects/danbrink/characters-by-level-and-game-avatars-for-pathfinde/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Characters-By-Level & Game Avatars for Pathfinder RPG,February 23 2014,Y,USD,"2,695.00",1,Not Funded,N,N,N,"$2,695",49.00%,Ended,0,1613497304560,January 24 2014,Pathfinder compatible pre-generated characters complete with Hero Lab portfolios and high quality character art files.,//s3.amazonaws.com/ksr/projects/835361/photo-small.jpg,,
