,,,1740264480169,,177,,,0,,,,,,233,31,,,,,,,,,,,
Kickstarter Link,RPGGeek Item ID,RPGGeek Item Link,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,OSR-Core,OSR-Adjacent
"https://www.kickstarter.com/projects/fearlightgames/baker-street-roleplaying-in-the-world-of-sherlock?ref=bggforums',",item3058526,,https://www.kicktraq.com/projects/fearlightgames/baker-street-roleplaying-in-the-world-of-sherlock/,RPG,,,Baker Street: Roleplaying in the World of Sherlock Holmes,March 16 2014,Y,USD,"31,479.00",1,"31,479.00",Y,N,Y,"$31,479",899.00%,Ended,31479,1613497304565,January 30 2014,"In this Victorian-era RPG, you become an investigator working out of 221B Baker Street solving cases for Dr. Watson.",//s3.amazonaws.com/ksr/projects/479929/photo-small.jpg,,
"https://www.kickstarter.com/projects/1235706284/journey-to-the-overland-a-solo-tabletop-roleplayin?ref=bggforums',",item3079186,,https://www.kicktraq.com/projects/1235706284/journey-to-the-overland-a-solo-tabletop-roleplayin/,RPG,,,Journey To The Overland:  A Solo Tabletop Roleplaying Game,March 17 2014,Y,USD,"23,972.00",1,"23,972.00",Y,N,Y,"$23,972",399.00%,Ended,23972,1613497304181,February 10 2014,A Solo Tabletop Roleplaying Game where players create characters who journey throughout the Overland in search of Five Weapons of Power,//s3.amazonaws.com/ksr/projects/841181/photo-small.jpg,,
"https://www.kickstarter.com/projects/314825490/100-deluxe-dungeons?ref=bggforums',",item3090556,,https://www.kicktraq.com/projects/314825490/100-deluxe-dungeons/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,100 Deluxe Dungeons,March 20 2014,Y,USD,"8,814.00",1,"8,814.00",Y,N,Y,"$8,814",1175.00%,Ended,8814,1613497304182,February 18 2014,"100 Dungeons, 100 Pages. An upgrade to our hit list, 100 Dungeons, with expanded descriptions, art, and maps.",//s3.amazonaws.com/ksr/projects/863874/photo-small.jpg,,
"https://www.kickstarter.com/projects/1783945339/judge-fool?ref=bggforums',",item3090560,,https://www.kicktraq.com/projects/1783945339/judge-fool/,non-5E,https://rpggeek.com/rpg/286/savage-worlds,,Judge Fool,March 20 2014,Y,USD,"3,343.00",1,"3,343.00",Y,N,Y,"$3,343",111.00%,Ended,3343,1613497304186,February 18 2014,"A mind-bending superhero roleplaying adventure, set on a cosmic scale.  Designed for the award-winning Savage Worlds RPG.",//s3.amazonaws.com/ksr/projects/839180/photo-small.jpg,,
"https://www.kickstarter.com/projects/875266084/the-hunted-a-game-of-medieval-magic-mischief-and-m?ref=bggforums',",item3090557,,https://www.kicktraq.com/projects/875266084/the-hunted-a-game-of-medieval-magic-mischief-and-m/,RPG,,,"The Hunted: A Game of Medieval Magic, Mischief, and Mayhem",March 20 2014,Y,USD,"3,452.00",1,"3,452.00",Y,N,Y,"$3,452",172.00%,Ended,3452,1613497304184,February 18 2014,Medieval RPG where player are given magical powers by Dark Benefactors in exchange for causing Chaos in their village. D20 roll under,//s3.amazonaws.com/ksr/projects/839288/photo-small.jpg,,
"https://www.kickstarter.com/projects/1443943482/project-olabbor-a-pathfinder-rpg-setting?ref=bggforums',",item3090980,,https://www.kicktraq.com/projects/1443943482/project-olabbor-a-pathfinder-rpg-setting/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Project Olabbor - A Pathfinder RPG Setting,March 21 2014,Y,USD,472.00,1,Not Funded,N,N,N,$472,4.00%,Ended,0,1613497304187,February 19 2014,A fully realized high fantasy setting with steampunk elements for the Pathfinder RPG.,//s3.amazonaws.com/ksr/projects/633682/photo-small.jpg,,
"https://www.kickstarter.com/projects/825764665/questlandia?ref=bggforums',",item3094977,,https://www.kicktraq.com/projects/825764665/questlandia/,RPG,,,Questlandia,March 21 2014,Y,USD,"6,434.00",1,"6,434.00",Y,N,Y,"$6,434",378.00%,Ended,6434,1613497304189,February 20 2014,A roleplaying game set in a player-generated fantasy kingdom on the brink of collapse!,//s3.amazonaws.com/ksr/projects/828492/photo-small.jpg,,
"https://www.kickstarter.com/projects/365dungeons/365-dungeons-2015-daily-dungeon-desk-calendar?ref=bggforums',",item3133276,,https://www.kicktraq.com/projects/365dungeons/365-dungeons-2015-daily-dungeon-desk-calendar/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,365 Dungeons - 2015  Daily Dungeon Desk Calendar,March 29 2014,Y,USD,"19,057.00",1,"19,057.00",Y,N,Y,"$19,057",762.00%,Ended,19057,1613497304190,March 14 2014,"Adventurers will solve a dungeon-a-day for an entire year. Many types of mixed adventures including mazes, searches, games and more...",//s3.amazonaws.com/ksr/projects/892396/photo-small.jpg,,
"https://www.kickstarter.com/projects/1078944858/the-godsfall-a-post-apocalyptic-fantasy-rpg?ref=bggforums',",item3084809,,https://www.kicktraq.com/projects/1078944858/the-godsfall-a-post-apocalyptic-fantasy-rpg/,RPG,,,The GODSFALL: a post-apocalyptic fantasy RPG,March 31 2014,Y,USD,"8,943.00",1,Not Funded,N,N,N,"$8,943",68.00%,Ended,0,1613497304196,February 14 2014,"Survive deadly encounters, explore a wild frontier, and battle epic foes in a world torn apart by the fall and impact of an elder god.",//s3.amazonaws.com/ksr/projects/710750/photo-small.jpg,,
"https://www.kickstarter.com/projects/voidrpg/void-rpg?ref=bggforums',",item3108796,,https://www.kicktraq.com/projects/voidrpg/void-rpg/,RPG,,,VOID RPG,March 31 2014,Y,USD,"1,102.00",,Not Funded,N,Y,N,"$1,102",19.00%,Cancelled,0,1613497304192,February 28 2014,"A gritty, realistic dark fantasy PnP RPG with interactive combat, free flow sorcery, classless system, and simple mechanics.",//s3.amazonaws.com/ksr/projects/731036/photo-small.jpg,,
"https://www.kickstarter.com/projects/bigdog/orinrakatha-rpg-epic-fantasy-campaign-where-worlds?ref=bggforums',",item3103530,,https://www.kicktraq.com/projects/bigdog/orinrakatha-rpg-epic-fantasy-campaign-where-worlds/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,OrinRakatha RPG: Epic fantasy campaign; where worlds collide,April 1 2014,Y,GBP,"15,856.00",1.6628,"26,365.36",Y,N,Y,"£15,856",106.00%,Ended,26365.36,1613497304197,February 25 2014,"After live role-playing for 27 years in this story, it is time to commit it to print in an epic tabletop RPG campaign world sourcebook.",//s3.amazonaws.com/ksr/projects/725465/photo-small.jpg,,
"https://www.kickstarter.com/projects/200664283/deluxe-mage-the-ascension-20th-anniversary-edition?ref=bggforums',",item3112016,,https://www.kicktraq.com/projects/200664283/deluxe-mage-the-ascension-20th-anniversary-edition/,non-5E,https://rpggeek.com/rpg/424/mage-ascension,,Deluxe Mage: the Ascension 20th Anniversary Edition,April 2 2014,Y,USD,"672,764.00",1,"672,764.00",Y,N,Y,"$672,764",961.00%,Ended,672764,1613497304200,March 3 2014,"Contribute to help give the Deluxe M20 Edition a leather bound, embossed+, silk bookmarked, gold-edged, full-color, deluxe treatment.",//s3.amazonaws.com/ksr/projects/880121/photo-small.jpg,,
"https://www.kickstarter.com/projects/847190685/circle-of-hands?ref=bggforums',",item3136268,,https://www.kicktraq.com/projects/847190685/circle-of-hands/,RPG,,,Circle of Hands,April 2 2014,Y,USD,"9,586.00",1,"9,586.00",Y,N,Y,"$9,586",159.00%,Ended,9586,1613497304199,March 15 2014,"Stark, iron, smeared, bleeding, charred, and cruel - perfect! Now let's make this game gorgeous.",//s3.amazonaws.com/ksr/projects/848774/photo-small.jpg,,
"https://www.kickstarter.com/projects/1132589121/mars-colony-39-dark?ref=bggforums',",item3129295,,https://www.kicktraq.com/projects/1132589121/mars-colony-39-dark/,RPG,,,Mars Colony: 39 Dark,April 2 2014,Y,USD,"6,964.00",1,"6,964.00",Y,N,Y,"$6,964",464.00%,Ended,6964,1613497304201,March 12 2014,"A sequel to Mars Colony, 39 Dark is a two-player, sci-fi RPG about political freedom and standing up for what's right.",//s3.amazonaws.com/ksr/projects/799481/photo-small.jpg,,
"https://www.kickstarter.com/projects/mattyoungmark/chooseomatic-books-for-free-rpg-day?ref=bggforums',",item3149990,,https://www.kicktraq.com/projects/mattyoungmark/chooseomatic-books-for-free-rpg-day/,non-5E,https://rpggeek.com/rpg/11366/chooseomatic-books,,Chooseomatic Books for Free RPG Day!,April 3 2014,Y,USD,"2,205.00",1,"2,205.00",Y,N,Y,"$2,205",110.00%,Ended,2205,1613497304203,March 13 2014,Help us print an 80-page Chooseomatic book to give away at game shops for Free RPG Day!,//s3.amazonaws.com/ksr/projects/886494/photo-small.jpg,,
"https://www.kickstarter.com/projects/avalkauskas/denizens-of-the-north?ref=bggforums',",item3132075,,https://www.kicktraq.com/projects/avalkauskas/denizens-of-the-north/,non-5E,https://rpggeek.com/rpg/24196/fate-norns-ragnarok,,Denizens of the North,April 6 2014,Y,USD,"9,089.00",1,"9,089.00",Y,N,Y,"$9,089",378.00%,Ended,9089,1613497304205,March 14 2014,"Blood and darkness soak the cosmic tree... From the fractured Viking kingdoms of Norveig to the siege of Asgard, Ragnarok is here!",//s3.amazonaws.com/ksr/projects/697041/photo-small.jpg,,
"https://www.kickstarter.com/projects/1176616619/shadows-of-esteren-a-medieval-horror-rpg-tuath?ref=bggforums',",item3084812,,https://www.kicktraq.com/projects/1176616619/shadows-of-esteren-a-medieval-horror-rpg-tuath/,non-5E,https://rpggeek.com/rpg/10515/les-ombres-desteren,,Shadows of Esteren - A Medieval Horror RPG: Tuath,April 6 2014,Y,USD,"137,602.00",1,"137,602.00",Y,N,Y,"$137,602",688.00%,Ended,137602,1613497304207,February 15 2014,"A medieval role-playing game somewhere between Ravenloft, Game of Thrones and Call of Cthulhu. Winner of three ENnie Awards in 2013!",//s3.amazonaws.com/ksr/projects/831011/photo-small.jpg,,
"https://www.kickstarter.com/projects/161801557/breachworld-rpg?ref=bggforums',",item3120827,,https://www.kicktraq.com/projects/161801557/breachworld-rpg/,RPG,,,Breachworld RPG,April 6 2014,Y,USD,"11,090.00",1,"11,090.00",Y,N,Y,"$11,090",147.00%,Ended,11090,1613497304206,March 7 2014,"Earth is home to aliens, magic, super-tech, & monsters. Survive, rule, or fight to seal our dimensional borders in this D6 RPG.",//s3.amazonaws.com/ksr/projects/870986/photo-small.jpg,,
https://www.kickstarter.com/projects/Jagash/posthuman-pathways?ref=bggforums,item3146614,,https://www.kicktraq.com/projects/Jagash/posthuman-pathways/,RPG,,,Posthuman Pathways,April 8 2014,Y,USD,"2,806.00",1,"2,806.00",Y,N,Y,"$2,806",112.00%,Ended,2806,1613497304209,March 24 2014,"A Roleplaying Game of Transhumanism, Sacrifice and Transformation.",//s3.amazonaws.com/ksr/projects/639823/photo-small.jpg,,
"https://www.kickstarter.com/projects/rafaelchandler/lusus-naturae-a-gruesome-old-school-bestiary?ref=bggforums',",item3131275,,https://www.kicktraq.com/projects/rafaelchandler/lusus-naturae-a-gruesome-old-school-bestiary/,non-5E,https://rpggeek.com/rpg/6581/lamentations-flame-princess,,Lusus Naturae: A Gruesome Old-School Bestiary,April 12 2014,Y,USD,"20,071.00",1,"20,071.00",Y,N,Y,"$20,071",301.00%,Ended,20071,1613497304210,March 13 2014,A collection of nightmarish monsters for old-school role-playing games. Spiritual successor to the Teratic Tome. Not safe for anyone.,//s3.amazonaws.com/ksr/projects/879648/photo-small.jpg,,1
https://www.kickstarter.com/projects/1706035146/saga-of-the-splintered-realm?ref=bggforums,item3131913,,https://www.kicktraq.com/projects/1706035146/saga-of-the-splintered-realm/,RPG,,,Saga of the Splintered Realm,April 12 2014,Y,USD,"3,438.00",1,"3,438.00",Y,N,Y,"$3,438",343.00%,Ended,3438,1613497304211,March 13 2014,What if I was the lead designer of the next edition of the world's greatest RPG? I'd end up with Saga of the Splintered Realm.,//s3.amazonaws.com/ksr/projects/893502/photo-small.jpg,,
"https://www.kickstarter.com/projects/454341996/dungeon-masters-sweetheart?ref=bggforums',",item3133277,,https://www.kicktraq.com/projects/454341996/dungeon-masters-sweetheart/,non-5E,https://rpggeek.com/rpg/1297/old-school-reference-and-index-compilation-osric,,Dungeon Master's Sweetheart,April 13 2014,Y,USD,51.00,1,Not Funded,N,N,N,$51,0.00%,Ended,0,1613497304213,March 14 2014,A complete First Edition or OSRIC character generator and central source for all campaign characters.,//s3.amazonaws.com/ksr/projects/908147/photo-small.jpg,1,
"https://www.kickstarter.com/projects/247200922/llrps-lookiss-logical-roleplay-system?ref=bggforums',",item3133275,,https://www.kicktraq.com/projects/247200922/llrps-lookiss-logical-roleplay-system/,RPG,,,LLRPS (Lookis's Logical Roleplay System),April 13 2014,Y,USD,755.00,1,755.00,Y,N,Y,$755,251.00%,Ended,755,1613497304212,March 14 2014,Tired of games with huge phonebook-sized rule books? This simple tabletop roleplaying system is right for you!,//s3.amazonaws.com/ksr/projects/886887/photo-small.jpg,,
"https://www.kickstarter.com/projects/967567976/rebuilding-the-realms-of-twilight?ref=bggforums',",item3139825,,https://www.kicktraq.com/projects/967567976/rebuilding-the-realms-of-twilight/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Rebuilding the Realms of Twilight,April 14 2014,Y,USD,"5,652.00",1,Not Funded,N,N,N,"$5,652",37.00%,Ended,0,1613497304216,March 15 2014,"A post-apocalyptic fantasy world of shadow, mystery, and savagery, Realms of Twilight is an amazing new Campaign for the Pathfinder RPG",//s3.amazonaws.com/ksr/projects/613010/photo-small.jpg,,
"https://www.kickstarter.com/projects/jeffdee/bethorm-the-plane-of-tekumel-rpg?ref=bggforums',",item3139831,,https://www.kicktraq.com/projects/jeffdee/bethorm-the-plane-of-tekumel-rpg/,RPG,,https://rpggeek.com/rpgfamily/566/tekumel-empire-petal-throne,Bethorm: the Plane of Tekumel RPG,April 14 2014,Y,USD,"22,212.00",1,"22,212.00",Y,N,Y,"$22,212",222.00%,Ended,22212,1613497304217,March 19 2014,Tabletop role-playing on an exotic alien world of high science-fantasy!,//s3.amazonaws.com/ksr/projects/901068/photo-small.jpg,,
"https://www.kickstarter.com/projects/erikthebearik/crone-a-tabletop-roleplaying-card-game?ref=bggforums',",item3133281,,https://www.kicktraq.com/projects/erikthebearik/crone-a-tabletop-roleplaying-card-game/,RPG,,,Crone: A Tabletop Roleplaying Card Game,April 14 2014,Y,USD,"4,279.00",1,"4,279.00",Y,N,Y,"$4,279",285.00%,Ended,4279,1613497304214,March 15 2014,"You are a Crone, a wizened old witch of great power and fearsome reputation. Your magic will shake the very foundations of the earth.",//s3.amazonaws.com/ksr/projects/812677/photo-small.jpg,,
"https://www.kickstarter.com/projects/accessiblegames/monster-kart-mayhem-a-fudge-kart-racing-rpg?ref=bggforums',",item3133288,,https://www.kicktraq.com/projects/accessiblegames/monster-kart-mayhem-a-fudge-kart-racing-rpg/,RPG,,https://rpggeek.com/rpgsystem/660/fudge,"Monster Kart Mayhem, a Fudge Kart-Racing RPG",April 14 2014,Y,USD,"1,669.00",1,"1,669.00",Y,N,Y,"$1,669",166.00%,Ended,1669,1613497304215,March 14 2014,"Pick your monster and race against your friends in this Fudge-compatible, GM-less, kart-racing RPG.",//s3.amazonaws.com/ksr/projects/685527/photo-small.jpg,,
"https://www.kickstarter.com/projects/ConflictRPG/combat-description-cards-for-storytellers-and-gms?ref=bggforums',",item3136271,,https://www.kicktraq.com/projects/ConflictRPG/combat-description-cards-for-storytellers-and-gms/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Combat Description Cards for Storytellers and GMs,April 16 2014,Y,USD,"50,863.00",1,"50,863.00",Y,N,Y,"$50,863",1017.00%,Ended,50863,1613497304219,March 17 2014,A 100+ card deck of action words and examples of combat strikes. Helping storytellers know what to say or write when describing combat!,//s3.amazonaws.com/ksr/projects/605189/photo-small.jpg,,
"https://www.kickstarter.com/projects/1124137190/excelsior-an-inspired-steampunk-pen-and-paper-rpg-0?ref=bggforums',",item3137975,,https://www.kicktraq.com/projects/1124137190/excelsior-an-inspired-steampunk-pen-and-paper-rpg-0/,RPG,,,Excelsior – An Inspired Steampunk Pen and Paper RPG!,April 16 2014,Y,USD,"2,410.00",1,"2,410.00",Y,N,Y,"$2,410",146.00%,Ended,2410,1613497304220,March 17 2014,A Steampunk Pen and Paper RPG drawing inspiration from the classics of literature that gave rise to the Steampunk movement!,//s3.amazonaws.com/ksr/projects/912084/photo-small.jpg,,
"https://www.kickstarter.com/projects/704723768/ironclaw-the-book-of-adventures?ref=bggforums',",item3139297,,https://www.kicktraq.com/projects/704723768/ironclaw-the-book-of-adventures/,non-5E,https://rpggeek.com/rpg/6076/ironclaw-second-edition,,IRONCLAW - The Book of Adventures,April 17 2014,Y,USD,"5,308.00",1,"5,308.00",Y,N,Y,"$5,308",530.00%,Ended,5308,1613497304221,March 18 2014,"New and classic adventures for IRONCLAW, updated and revised",//s3.amazonaws.com/ksr/projects/897827/photo-small.jpg,,
"https://www.kickstarter.com/projects/292543184/wayfarer-slipstream-rpg-adventures-through-the-mul?ref=bggforums',",item3140879,,https://www.kicktraq.com/projects/292543184/wayfarer-slipstream-rpg-adventures-through-the-mul/,RPG,,,Wayfarer: Slipstream RPG Adventures through the Multiverse,April 19 2014,Y,USD,"4,077.00",1,"4,077.00",Y,N,Y,"$4,077",163.00%,Ended,4077,1613497304222,March 20 2014,"Wayfarer is a tabletop RPG in which fantasy, science fiction, and other genres blend together into a massive, ever-expanding multiverse",//s3.amazonaws.com/ksr/projects/909971/photo-small.jpg,,
"https://www.kickstarter.com/projects/2092114443/daring-comics-role-playing-game?ref=bggforums',",item3121676,,https://www.kicktraq.com/projects/2092114443/daring-comics-role-playing-game/,RPG,,,Daring Comics Role-Playing Game,April 21 2014,Y,USD,"9,653.00",1,Not Funded,N,Y,N,"$9,653",96.00%,Cancelled,0,1613497304224,March 7 2014,A Super-Hero Role-Playing Game completely powered by the Fate system,//s3.amazonaws.com/ksr/projects/892652/photo-small.jpg,,
"https://www.kickstarter.com/projects/1153118353/nefertiti-overdrive-ancient-egyptian-wuxia?ref=bggforums',",item3136272,,https://www.kicktraq.com/projects/1153118353/nefertiti-overdrive-ancient-egyptian-wuxia/,RPG,,,Nefertiti Overdrive: Ancient Egyptian Wuxia,April 21 2014,Y,USD,"2,360.00",1,Not Funded,N,N,N,"$2,360",47.00%,Ended,0,1613497304223,March 17 2014,"A tabletop, pen & paper RPG, Nefertiti Overdrive is mash-up of legendary Ancient Egypt and cinematic wuxia action.",//s3.amazonaws.com/ksr/projects/900984/photo-small.jpg,,
"https://www.kickstarter.com/projects/judgesguild/city-state-of-the-invincible-overlord?ref=bggforums',",item3148597,,https://www.kicktraq.com/projects/judgesguild/city-state-of-the-invincible-overlord/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,City State of the Invincible Overlord,April 23 2014,Y,USD,"85,130.00",1,"85,130.00",Y,N,Y,"$85,130",304.00%,Ended,85130,1613497304226,March 24 2014,Bringing the first published fantasy RPG city setting back to the presses for JG Universal and the Pathfinder Roleplaying Game System.,//s3.amazonaws.com/ksr/projects/863923/photo-small.jpg,,
"https://www.kickstarter.com/projects/1469264303/strange-voyages?ref=bggforums',",item3148603,,https://www.kicktraq.com/projects/1469264303/strange-voyages/,non-5E,https://rpggeek.com/rpg/203/fate-core,,Strange Voyages,April 24 2014,Y,USD,"5,707.00",1,"5,707.00",Y,N,Y,"$5,707",163.00%,Ended,5707,1613497304226,March 25 2014,Swash your bucklers and load your musket!  Join a voyage into the lands of legend at the height of the Age of Exploration!,//s3.amazonaws.com/ksr/projects/889070/photo-small.jpg,,
"https://www.kickstarter.com/projects/2040087252/sigurds-guide-to-the-galaxy-role-playing-game?ref=bggforums',",item3148598,,https://www.kicktraq.com/projects/2040087252/sigurds-guide-to-the-galaxy-role-playing-game/,RPG,,,Sigurd's Guide To The Galaxy Role-Playing Game,April 25 2014,Y,USD,441.00,1,Not Funded,N,N,N,$441,1.00%,Ended,0,1613497304227,March 25 2014,The year is 6200; a war has just ended; its time to get out and explore and grab your own slice of the galaxy.,//s3.amazonaws.com/ksr/projects/914348/photo-small.jpg,,
"https://www.kickstarter.com/projects/1409961192/metamorphosis-alpha-deluxe-hardcover-collectors-ed?ref=bggforums',",item3152833,,https://www.kicktraq.com/projects/1409961192/metamorphosis-alpha-deluxe-hardcover-collectors-ed/,non-5E,https://rpggeek.com/rpg/769/metamorphosis-alpha-1st-edition,,METAMORPHOSIS ALPHA Deluxe Hardcover Collector's Edition,April 27 2014,Y,USD,"83,264.00",1,"83,264.00",Y,N,Y,"$83,264",277.00%,Ended,83264,1613497304228,March 28 2014,The 1st sci-fi RPG returns in a deluxe oversized hardcover featuring the original 1976 rules plus loads of extras and new material!,//s3.amazonaws.com/ksr/projects/891504/photo-small.jpg,,1
"https://www.kickstarter.com/projects/543217832/pasts-personas-and-prophecies-a-tabletop-rpg?ref=bggforums',",item3158090,,https://www.kicktraq.com/projects/543217832/pasts-personas-and-prophecies-a-tabletop-rpg/,RPG,,,"PASTS, PERSONAS & PROPHECIES: A Tabletop RPG",May 1 2014,Y,USD,"8,784.00",1,"8,784.00",Y,N,Y,"$8,784",103.00%,Ended,8784,1613497304230,April 1 2014,Jump into an easy-to-learn lite RPG focused on fun roleplaying & character development through prophecy rather than cumbersome rules!,//s3.amazonaws.com/ksr/projects/632348/photo-small.jpg,,
"https://www.kickstarter.com/projects/1292093911/pulp-fantastic-a-vortex-pulp-rpg?ref=bggforums',",item3153589,,https://www.kicktraq.com/projects/1292093911/pulp-fantastic-a-vortex-pulp-rpg/,RPG,,https://rpggeek.com/rpgsystem/22874/vortex-system,Pulp Fantastic (A Vortex Pulp RPG),May 1 2014,Y,USD,"2,232.00",1,"2,232.00",Y,N,Y,"$2,232",148.00%,Ended,2232,1613497304229,March 28 2014,"Welcome to the world of the 1930s, a world where secret societies battle for control of history.",//s3.amazonaws.com/ksr/projects/905850/photo-small.jpg,,
"https://www.kickstarter.com/projects/937759598/faces-of-the-tarnished-souk-an-npc-collection-pfrp?ref=bggforums',",item3159315,,https://www.kicktraq.com/projects/937759598/faces-of-the-tarnished-souk-an-npc-collection-pfrp/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Faces of the Tarnished Souk: An NPC Collection (Pathfinder),May 2 2014,Y,USD,"4,430.00",1,"4,430.00",Y,N,Y,"$4,430",246.00%,Ended,4430,1613497304232,April 1 2014,"A collection of 30 complex NPC, supported by custom classes, templates, races, etc. for the Pathfinder Roleplaying Game",//s3.amazonaws.com/ksr/projects/921542/photo-small.jpg,,
"https://www.kickstarter.com/projects/froggodgames/the-lost-lands-the-lost-city-of-barakus?ref=bggforums',",item3158088,,https://www.kicktraq.com/projects/froggodgames/the-lost-lands-the-lost-city-of-barakus/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,The Lost Lands: The Lost City of Barakus,May 4 2014,Y,USD,"57,458.00",1,"57,458.00",Y,N,Y,"$57,458",383.00%,Ended,57458,1613497304233,April 1 2014,"The Lost City of Barakus (Gold Ennie for Best Adventure in 2004) is being revised, expanded & updated for Pathfinder!",//s3.amazonaws.com/ksr/projects/656619/photo-small.jpg,,
"https://www.kickstarter.com/projects/1588759266/hellfrost-rassilon-expansion-ii?ref=bggforums',",item3177277,,https://www.kicktraq.com/projects/1588759266/hellfrost-rassilon-expansion-ii/,non-5E,https://rpggeek.com/rpg/286/savage-worlds,,Hellfrost Rassilon Expansion II,May 5 2014,Y,GBP,"5,625.00",1.6866,"9,487.13",Y,N,Y,"£5,625",375.00%,Ended,9487.13,1613497304234,April 15 2014,,,,
"https://www.kickstarter.com/projects/funhaver/last-stand-reinforcements?ref=bggforums',",item3162148,,https://www.kicktraq.com/projects/funhaver/last-stand-reinforcements/,non-5E,https://rpggeek.com/rpg/24926/last-stand-funhaver-games,,Last Stand: Reinforcements,May 5 2014,Y,USD,"2,645.00",1,"2,645.00",Y,N,Y,"$2,645",176.00%,Ended,2645,1613497304235,April 4 2014,"New rules and character options for Last Stand, the RPG of kaiju battles and explosions.",//s3.amazonaws.com/ksr/projects/925337/photo-small.jpg,,
"https://www.kickstarter.com/projects/legendarygames/mythic-mania-three-mythic-rulebooks-for-pathfinder?ref=bggforums',",item3154487,,https://www.kicktraq.com/projects/legendarygames/mythic-mania-three-mythic-rulebooks-for-pathfinder/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Mythic Mania: Three Mythic Rulebooks for Pathfinder RPG,May 6 2014,Y,USD,"69,362.00",1,"69,362.00",Y,N,Y,"$69,362",1387.00%,Ended,69362,1613497304236,March 29 2014,"A massive expansion to the Pathfinder RPG Mythic rules in three print books, featuring spells, feats, monsters, mythic paths, and more!",//s3.amazonaws.com/ksr/projects/913712/photo-small.jpg,,
"https://www.kickstarter.com/projects/586818094/epic-worlds-engine-0?ref=bggforums',",item3166732,,https://www.kicktraq.com/projects/586818094/epic-worlds-engine-0/,RPG,,,Epic Worlds Engine,May 8 2014,Y,USD,"1,380.00",1,"1,380.00",Y,N,Y,"$1,380",138.00%,Ended,1380,1613497304238,April 7 2014,"A resource light Role Playing Game that provides for quick and easy creation of Epic Characters, Epic Stories, and Epic Worlds.",//s3.amazonaws.com/ksr/projects/918175/photo-small.jpg,,
"https://www.kickstarter.com/projects/enworld/whats-old-is-new-two-crunchy-roleplaying-games?ref=bggforums',",item3166679,,https://www.kicktraq.com/projects/enworld/whats-old-is-new-two-crunchy-roleplaying-games/,RPG,,,What's O.L.D. Is N.E.W. - Two Crunchy Roleplaying Games!,May 8 2014,Y,GBP,"43,707.00",1.6932,"74,004.69",Y,N,Y,"£43,707",874.00%,Ended,74004.69,1613497304237,April 7 2014,Build a starship. Brew a potion. Explore a dungeon. Create a universe. Give your wizard a spaceship.,//s3.amazonaws.com/ksr/projects/780583/photo-small.jpg,,
"https://www.kickstarter.com/projects/246441843/the-pony-wars-role-playing-game?ref=bggforums',",item3170563,,https://www.kicktraq.com/projects/246441843/the-pony-wars-role-playing-game/,RPG,,,The Pony Wars Role Playing Game,May 9 2014,Y,USD,0.00,1,Not Funded,N,Y,N,$0,0.00%,Cancelled,0,1613497304239,April 9 2014,Build your pony and set off for adventure through the world of Trindel.,//s3.amazonaws.com/ksr/projects/940983/photo-small.jpg,,
"https://www.kickstarter.com/projects/63676387/worlds-in-peril?ref=bggforums',",item3170427,,https://www.kicktraq.com/projects/63676387/worlds-in-peril/,RPG,,https://rpggeek.com/rpgsystem/17185/powered-apocalypse,Worlds in Peril: Be the Hero you Want to Be!,May 12 2014,Y,USD,"20,953.00",1,"20,953.00",Y,N,Y,"$20,953",349.00%,Ended,20953,1613497304240,April 9 2014,"THE Superhero RPG you've been waiting for! A standalone, modern ruleset to take superhero gaming to a whole new level!",//s3.amazonaws.com/ksr/projects/896950/photo-small.jpg,,
"https://www.kickstarter.com/projects/115420877/savage-kingdoms-heroic-swords-and-sorcery-roleplay?ref=bggforums',",item3175961,,https://www.kicktraq.com/projects/115420877/savage-kingdoms-heroic-swords-and-sorcery-roleplay/,RPG,,,Savage Kingdoms: heroic swords-and-sorcery roleplaying,May 14 2014,Y,USD,"3,351.00",1,"3,351.00",Y,N,Y,"$3,351",304.00%,Ended,3351,1613497304241,April 14 2014,,,,
