GameOnTabletop Link,RPGGeek List Item,Type,Non-5E: For RPG,RPG: related to,Project Name,Ended Date,Funding Level,Project Status,Currency,Funding Level,Exchange Rate,FundingLevelUSD,OSR Original,OSR Scene
https://www.gameontabletop.com/cf4851/insula-hellenika-late-pledge.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918785#11918785,non-5E,not in database,,INSULA HELLENIKA - LATE PLEDGE,June 30 2025,"€29,545.00",Project Ended,EUR,"29,545.00",1.1787,"$34,823.51",,
https://www.gameontabletop.com/cf4811/pendragon.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918795#11918795,non-5E,https://rpggeek.com/rpg/317/pendragon-1st-6th-editions,,Pendragon,May 5 2025,"€171,456.00",Project Ended,EUR,"171,456.00",1.1312,"$193,951.03",,
https://www.gameontabletop.com/cf4891/chroniques-oubliees-contemporain-2.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918808#11918808,non-5E,https://rpggeek.com/rpg/60904/chroniques-oubliees-contemporain,,Chroniques Oubliées Contemporain 2,April 14 2025,"€114,396.00",Project Ended,EUR,"114,396.00",1.1339,"$129,711.34",,
https://www.gameontabletop.com/cf4861/shadowdark.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918819#11918819,non-5E,https://rpggeek.com/rpg/73714/shadowdark-rpg,,Shadowdark,May 6 2025,"€104,248.00",Project Ended,EUR,"104,248.00",1.1341,"$118,230.78",,1
https://www.gameontabletop.com/cf4981/l-ombre-du-seigneur-demon-heritage.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918835#11918835,non-5E,https://rpggeek.com/rpg/27061/shadow-of-the-demon-lord,,L'Ombre du Seigneur Démon : Héritage,May 5 2025,"€58,228.00",Project Ended,EUR,"58,228.00",1.1312,"$65,867.51",,
https://www.gameontabletop.com/cf4901/dangerous-gary.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918840#11918840,RPG,,https://rpggeek.com/rpgsystem/68041/mark-of-the-odd,Dangerous Gary,May 15 2025,"€26,354.00",Project Ended,EUR,"26,354.00",1.1193,"$29,498.03",,
https://www.gameontabletop.com/cf5031/ta-gueule-c-est-quantique.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918841#11918841,RPG,,,"Ta Gueule, C'est Quantique",June 8 2025,"€24,713.00",Project Ended,EUR,"24,713.00",1.1407,"$28,190.24",,
https://www.gameontabletop.com/cf5121/paranormal-inc.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918845#11918845,non-5E,https://rpggeek.com/rpg/78203/paranormal-inc,,Paranormal Inc.,June 5 2025,"€14,660.00",Project Ended,EUR,"14,660.00",1.1453,"$16,790.46",,
https://www.gameontabletop.com/cf5201/sacrifices-le-roman-dont-vous-etes-le-heros-illustre.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918847#11918847,RPG,,https://rpggeek.com/rpgsystem/22884/systemless-gamebooks,Sacrifices - Le Roman Dont vous êtes le Héros - Illustré,June 23 2025,"€5,515.00",Project Ended,EUR,"5,515.00",1.1598,"$6,396.55",,
https://www.gameontabletop.com/cf5091/libri-deorum.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918864#11918864,non-5E,https://rpggeek.com/rpg/37225/the-cthulhu-hack,,Libri Deorum,June 9 2025,"€8,803.00",Project Ended,EUR,"8,803.00",1.1427,"$10,059.54",,
https://www.gameontabletop.com/cf5111/pathfinder-nature-mystique-supplements-campagnes.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918868#11918868,non-5E,https://rpggeek.com/rpg/56388/pathfinder-roleplaying-game-2nd-edition,,Pathfinder : Nature mystique - suppléments & campagnes,June 10 2025,"€105,499.00",Project Ended,EUR,"105,499.00",1.1437,"$120,659.21",,
https://www.gameontabletop.com/cf5071/arkhanval.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918870#11918870,RPG,,,Arkhanval,July 2 2025,"€18,282.00",Project Ended,EUR,"18,282.00",1.1800,"$21,572.85",,
https://www.gameontabletop.com/cf5001/atlas-de-techno-fantasy-fabula-ultima.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918887#11918887,non-5E,https://rpggeek.com/rpg/72028/fabula-ultima,,Atlas de Techno Fantasy - Fabula ultima,June 24 2025,"€25,974.00",Project Ended,EUR,"25,974.00",1.1612,"$30,160.49",,
https://www.gameontabletop.com/cf4951/deponia-das-rollenspiel-recycled.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918912#11918912,RPG,,,Deponia: The Recycled Roleplaying Game,June 30 2025,"€89,745.00",Project Ended,EUR,"89,745.00",1.1787,"$105,778.84",,
https://www.gameontabletop.com/cf3081/inacheves.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918935#11918935,RPG,,,Inachevés,December 12 2024,"€39,899.00",Project Ended,EUR,"39,899.00",1.0471,"$41,778.24",,
https://www.gameontabletop.com/cf4291/les-gardiens-de-l-ether.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918940#11918940,RPG,,,Les Gardiens de l'Ether,November 22 2024,"€7,731.00",Project Ended,EUR,"7,731.00",1.0416,"$8,052.61",,
https://www.gameontabletop.com/cf4341/koyo-sur-le-chemin-des-esprits.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918947#11918947,RPG,,,Koyo – Sur le chemin des esprits,October 14 2024,"€2,350.00",Project Ended,EUR,"2,350.00",1.0909,"$2,563.52",,
