Kickstarter Link,RPGGeek List Item,RPGGeek List Page,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,,OSR Core,OSR Adjacent,,,,,,
https://www.kickstarter.com/projects/292543184/kingdoms-of-hell?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6643031#item6643031,1,https://www.kicktraq.com/projects/292543184/kingdoms-of-hell/,RPG,,,Kingdoms of Hell,6-Feb-19,Y,USD,"3,805.00",1,"3,805.00",Y,N,Y,"$3,805 ",761.00%,Ended,3805,1.60874E+12,January 7 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/1192053011/mutant-hindenburg?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6690375#item6690375,3,https://www.kicktraq.com/projects/1192053011/mutant-hindenburg/,non-5E,https://rpggeek.com/rpg/24631/mutant-year-zero,,Mutant: Hindenburg,7-Feb-19,Y,SEK,"1,126,914.00",0.107957,"121,658.25",Y,N,Y,"kr1,126,914 SEK",2253.00%,Ended,121658.25,1.60874E+12,January 29 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/blueoxrat/between-sun-and-shadow-second-edition-for-tiny-dun?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6647512#item6647512,1,https://www.kicktraq.com/projects/913109781/between-sun-and-shadow-second-edition-for-tiny-dun/,non-5E,https://rpggeek.com/rpg/25878/tiny-dungeon,,Between Sun & Shadow: Second Edition (for Tiny Dungeon 2e),7-Feb-19,Y,USD,"3,500.00",1,"3,500.00",Y,N,Y,"$3,500 ",350.00%,Ended,3500,1.60874E+12,January 8 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/ericfrombloatgames/dark-places-and-demogorgons-the-cryptid-manual-tab?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6662394#item6662394,2,https://www.kicktraq.com/projects/ericfrombloatgames/dark-places-and-demogorgons-the-cryptid-manual-tab/,non-5E,https://rpggeek.com/rpg/43644/dark-places-demogorgons,,"Dark Places & Demogorgons: The Cryptid Manual, Tabletop RPG",7-Feb-19,Y,USD,"5,380.00",1,"5,380.00",Y,N,Y,"$5,380 ",448.00%,Ended,5380,1.60874E+12,January 15 2019,,,,,1,,,,,,
https://www.kickstarter.com/projects/1884184046/the-superverse-a-superhero-campaign-sourcebook?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6644725#item6644725,1,https://www.kicktraq.com/projects/1884184046/the-superverse-a-superhero-campaign-sourcebook/,non-5E,https://rpggeek.com/rpg/4630/icons,,The Superverse - A Superhero Campaign Sourcebook,7-Feb-19,Y,USD,"3,025.00",1,"3,025.00",Y,N,Y,"$3,025 ",432.00%,Ended,3025,1.60874E+12,January 8 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/sigil/the-savage-sign?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6658649#item6658649,2,https://www.kicktraq.com/projects/sigil/the-savage-sign/,non-5E,https://rpggeek.com/rpg/286/savage-worlds,,The Savage Sign,8-Feb-19,Y,USD,"10,412.00",1,"10,412.00",Y,N,Y,"$10,412 ",208.00%,Ended,10412,1.60874E+12,January 14 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/529477987/dice-roll-denizens-instant-npcs-for-dnd-and-pathfi?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6649748#item6649748,1,https://www.kicktraq.com/projects/529477987/dice-roll-denizens-instant-npcs-for-dnd-and-pathfi/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Dice Roll Denizens — Instant NPCs for DND & Pathfinder,8-Feb-19,Y,CAD,"7,114.00",0.7529,"5,356.13",Y,N,Y,"$7,114 CAD",711.00%,Ended,5356.13,1.60874E+12,January 9 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/1581208925/clockwork-depths?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6647531#item6647531,1,https://www.kicktraq.com/projects/1581208925/clockwork-depths/,RPG,,,Clockwork Depths,8-Feb-19,Y,USD,"1,807.00",1,Not Funded,N,N,N,"$1,807 ",18.00%,Ended,0,1.60874E+12,January 9 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/shadesofvengeance/the-era-zone?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6698634#item6698634,3,https://www.kicktraq.com/projects/shadesofvengeance/the-era-zone/,non-5E,https://rpggeek.com/rpg/51494/era-d10,,Zine Quest: The Era Zone!,10-Feb-19,Y,USD,"1,545.00",1,"1,545.00",Y,N,Y,"$1,545 ",772.00%,Ended,1545,1.60874E+12,February 1 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/flowchartgaming/land-under-the-flames-volcanopunk-roleplaying-game?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6657966#item6657966,1,https://www.kicktraq.com/projects/flowchartgaming/land-under-the-flames-volcanopunk-roleplaying-game/,RPG,,,Land Under the Flames: Volcanopunk Roleplaying Game,10-Feb-19,Y,USD,"2,735.00",1,Not Funded,N,N,N,"$2,735 ",17.00%,Ended,0,1.60874E+12,January 11 2019,,,,,,,,,,,
