,,,1740264455815,,266,281,128,0,,,,215,193,408,20,8,,,,,,,,
Kickstarter Link,RPGGeek Item ID,RPGGeek Item Link,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,,Last Updated,Start Date,,
"http://www.kickstarter.com/projects/1833011736/world-of-waste-land-table-top-rpg-d20?ref=bggforums',",item1982440,,https://www.kicktraq.com/projects/1833011736/world-of-waste-land-table-top-rpg-d20/,RPG,,,World Of Waste Land Table Top RPG D20,January 28 2012,Y,USD,110.00,1,Not Funded,N,N,N,$110,2.00%,Ended,0,1616169629524,December 29 2011,This game I am making is taking ideas I have had and ideas from some of our favorite apocalyptic video games.,//s3.amazonaws.com/ksr/projects/62666/photo-small.jpg
"http://www.kickstarter.com/projects/herogames/the-book-of-the-empress?ref=bggforums',",item1958373,,https://www.kicktraq.com/projects/herogames/the-book-of-the-empress/,non-5E,https://rpggeek.com/rpg/11085/champions-hero-system-6,,THE BOOK OF THE EMPRESS,January 30 2012,Y,USD,"15,660.00",1,"15,660.00",Y,N,Y,"$15,660",156.00%,Ended,15660,1616169629522,December 26 2011,THE BOOK OF THE EMPRESS is a supplement for the Champions roleplaying game using the HERO System 6th Edition rules.,//s3.amazonaws.com/ksr/projects/62310/photo-small.jpg
https://www.kickstarter.com/projects/battlefieldpress/warren-c-norwoods-double-spiral-war-rpg?ref=bggforums,,,https://www.kicktraq.com/projects/1292093911/warren-c-norwoods-double-spiral-war-rpg/,non-5E,https://rpggeek.com/rpg/286/savage-worlds,,Warren C. Norwood's Double Spiral War RPG,January 31 2012,Y,USD,821.00,1,821.00,Y,N,Y,$821,164.00%,Ended,821,1616169629547,December 9 2011,This is a Savage Worlds setting based on the trilogy by Warren C. Norwood.,//s3.amazonaws.com/ksr/projects/30697/photo-small.jpg
"http://www.kickstarter.com/projects/1643151566/shroud-of-the-ancients-fantasy-adventure-d5-rpg?ref=bggforums',",item1955220,,https://www.kicktraq.com/projects/1643151566/shroud-of-the-ancients-fantasy-adventure-d5-rpg/,RPG,,,Shroud of the Ancients Fantasy Adventure RPG,January 31 2012,Y,USD,"1,901.00",1,Not Funded,N,N,N,"$1,901",38.00%,Ended,0,1616169629520,December 20 2011,"Shroud of the Ancients RPG is a classless, levelless, skill driven game engine that won't constrain your character with limitations.",//s3.amazonaws.com/ksr/projects/63852/photo-small.jpg
"http://www.kickstarter.com/projects/257331192/tephra-the-steampunk-rpg?ref=bggforums',",item1971349,,https://www.kicktraq.com/projects/257331192/tephra-the-steampunk-rpg/,RPG,,,Tephra: the Steampunk RPG,February 4 2012,Y,USD,"22,821.00",1,"22,821.00",Y,N,Y,"$22,821",2282.00%,Ended,22821,1616169629523,January 4 2012,Tephra is a steampunk RPG with a unique setting and a dynamic system. Help us get Tephra in your hands and at your game table.,//s3.amazonaws.com/ksr/projects/66634/photo-small.jpg
"http://www.kickstarter.com/projects/1669927239/divne-blood-roleplaying-supplement?ref=bggforums',",item1942742,,https://www.kicktraq.com/projects/1669927239/divne-blood-roleplaying-supplement/,non-5E,https://rpggeek.com/rpgsystem/577/fate-30,,Divine Blood Roleplaying Supplement,February 6 2012,Y,USD,190.00,1,Not Funded,N,N,N,$190,19.00%,Ended,0,1616169629513,December 8 2011,A project to make a FATE sourcebook set in the universe of the Divine Blood novel successfully funded earlier this year.,//s3.amazonaws.com/ksr/projects/62037/photo-small.jpg
"http://www.kickstarter.com/projects/1431056223/ellis-kingdom-in-turmoil-roleplaying-game?ref=bggforums',",item1990329,,https://www.kicktraq.com/projects/1431056223/ellis-kingdom-in-turmoil-roleplaying-game/,RPG,,,Ellis: Kingdom in Turmoil Roleplaying Game,February 7 2012,Y,USD,"2,586.00",1,"2,586.00",Y,N,Y,"$2,586",646.00%,Ended,2586,1616169629527,January 16 2012,Ellis: Kingdom in Turmoil is a pen-and-paper roleplaying game available in both print and .pdf formats.,//s3.amazonaws.com/ksr/projects/68795/photo-small.jpg
"http://www.kickstarter.com/projects/machineage/flatpack-fix-the-future-optimistic-apocalyptic-rpg?ref=bggforums',",item1982445,,https://www.kicktraq.com/projects/machineage/flatpack-fix-the-future-optimistic-apocalyptic-rpg/,RPG,,,Flatpack: Fix the Future! Optimistic Apocalyptic RPG,February 13 2012,Y,USD,"7,854.00",1,"7,854.00",Y,N,Y,"$7,854",785.00%,Ended,7854,1616169629525,January 12 2012,"Have you heard anyone say that the future's not so bright, and thought, ""But I have lightbulbs?"" If so, Flatpack is the game for you!",//s3.amazonaws.com/ksr/projects/68651/photo-small.jpg
"http://www.kickstarter.com/projects/1925514456/improbable-tales?ref=bggforums',",item1990326,,https://www.kicktraq.com/projects/1925514456/improbable-tales/,non-5E,https://rpggeek.com/rpg/4630/icons,,Improbable Tales,February 20 2012,Y,USD,"1,097.00",1,"1,097.00",Y,N,Y,"$1,097",274.00%,Ended,1097,1616169629526,January 13 2012,Improbable Tales is a series of 5 short adventures for the ICONS roleplaying game.,//s3.amazonaws.com/ksr/projects/67553/photo-small.jpg
"http://www.kickstarter.com/projects/2091561925/killshot-an-assassins-journal-rpg?ref=bggforums',",item2009195,,https://www.kicktraq.com/projects/2091561925/killshot-an-assassins-journal-rpg/,RPG,,,Killshot: An Assassin's Journal RPG,February 24 2012,Y,USD,"1,516.00",1,"1,516.00",Y,N,Y,"$1,516",189.00%,Ended,1516,1616169629532,January 25 2012,"A roleplaying game of professional assassination using an original, fast-paced dice pool mechanic. Play an assassin or be the Director.",//s3.amazonaws.com/ksr/projects/69005/photo-small.jpg
