,,,1740264556456,,175,119,,0,,,,,,385,27,,,,,,,,,,,
Kickstarter Link,RPGGeek Item ID,RPGGeek Item Link,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,OSR Core,OSR Adjacent
"https://www.kickstarter.com/projects/563681582/the-folio-12-and-13-taux-trilogy-completion?ref=bggforums',",item5109701,https://rpggeek.com/geeklist/218891/item/5109701#item5109701,https://www.kicktraq.com/projects/563681582/the-folio-12-and-13-taux-trilogy-completion/,5E,,,The Folio #12 & #13 Taux Trilogy Completion,12 Jan 2017,Y,EUR,"11,190.00",1.06141,"11,877.18",Y,N,Y,"€11,190",111.00%,Ended,11877.18,1611168565782,January 1 2017,,,,
"https://www.kickstarter.com/projects/1295100784/the-gods-have-spoken-5th-edition-rpg-supplement?ref=bggforums',",item5109707,https://rpggeek.com/geeklist/218891/item/5109707#item5109707,https://www.kicktraq.com/projects/1295100784/the-gods-have-spoken-5th-edition-rpg-supplement/,5E,,,The Gods Have Spoken (5th Edition RPG Supplement),31 Jan 2017,Y,USD,"3,099.00",1,"3,099.00",Y,N,Y,"$3,099",516.00%,Ended,3099,1611168565783,January 1 2017,,,,
"https://www.kickstarter.com/projects/darkcultgames/the-star-on-the-shore-a-call-of-cthulhu-rpg-module?ref=bggforums',",item5113688,https://rpggeek.com/geeklist/218891/item/5113688#item5113688,https://www.kicktraq.com/projects/darkcultgames/the-star-on-the-shore-a-call-of-cthulhu-rpg-module/,non-5E,https://rpggeek.com/rpg/23113/call-cthulhu-7th-edition,,The Star on the Shore - A Call of Cthulhu RPG Module,31 Jan 2017,Y,USD,"34,633.00",1,"34,633.00",Y,N,Y,"$34,633",865.00%,Ended,34633,1611168565785,January 2 2017,,,,
"https://www.kickstarter.com/projects/lmetcalf/winter-eternal-tabletop-rpg-adventure-module?ref=bggforums',",item5169217,https://rpggeek.com/geeklist/218891/item/5169217#item5169217,https://www.kicktraq.com/projects/lmetcalf/winter-eternal-tabletop-rpg-adventure-module/,5E,,,Winter Eternal - Tabletop RPG Adventure Module,1 Feb 2017,Y,USD,"3,793.00",1,"3,793.00",Y,N,Y,"$3,793",379.00%,Ended,3793,1611168565917,January 24 2017,,,,
"https://www.kickstarter.com/projects/burningwheel/middarmark?ref=bggforums',",item5141725,https://rpggeek.com/geeklist/218891/item/5141725#item5141725,https://www.kicktraq.com/projects/burningwheel/middarmark/,non-5E,https://rpggeek.com/rpg/22238/torchbearer-2013,,Middarmark,2 Feb 2017,Y,USD,"44,892.00",1,"44,892.00",Y,N,Y,"$44,892",448.00%,Ended,44892,1611168565793,January 12 2017,,,,
https://www.kickstarter.com/projects/stanshinn/make-100-chronicles-rpg-kit?ref=bggforums,item5155125,https://rpggeek.com/geeklist/218891/item/5155125#item5155125,https://www.kicktraq.com/projects/stanshinn/make-100-chronicles-rpg-kit/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Make 100: Chronicles RPG Kit,2 Feb 2017,Y,USD,"4,656.00",1,"4,656.00",Y,N,Y,"$4,656",465.00%,Ended,4656,1611168565801,January 18 2017,,,,
"https://www.kickstarter.com/projects/676918054/3-days-in-bergholt?ref=bggforums',",item5182853,https://rpggeek.com/geeklist/218891/item/5182853#item5182853,https://www.kicktraq.com/projects/676918054/1451497387/,non-5E,https://rpggeek.com/rpg/509/castles-crusades,,3 Days in Bergholt!,3 Feb 2017,Y,EUR,"7,723.00",1.07854,"8,329.56",Y,N,Y,"€7,723",772.00%,Ended,8329.56,1611168565931,January 31 2017,,,,1
"https://www.kickstarter.com/projects/179941520/pigsmoke-a-roleplaying-game-of-sorcerous-academia?ref=bggforums',",item5127950,https://rpggeek.com/geeklist/218891/item/5127950#item5127950,https://www.kicktraq.com/projects/179941520/pigsmoke-a-roleplaying-game-of-sorcerous-academia/,RPG,,https://rpggeek.com/rpgsystem/17185/powered-apocalypse,Pigsmoke: A Roleplaying Game of Sorcerous Academia,4 Feb 2017,Y,GBP,"8,672.00",1.2486,"10,827.86",Y,N,Y,"£8,672",289.00%,Ended,10827.86,1611168565786,January 5 2017,,,,
"https://www.kickstarter.com/projects/1326310875/neomancer-a-cyberpunk-pen-and-paper-rpg?ref=bggforums',",item5131968,https://rpggeek.com/geeklist/218891/item/5131968#item5131968,https://www.kicktraq.com/projects/1326310875/neomancer-a-cyberpunk-pen-and-paper-rpg/,RPG,,,Neomancer - A Cyberpunk Pen and Paper RPG,7 Feb 2017,Y,USD,"5,192.00",1,"5,192.00",Y,N,Y,"$5,192",207.00%,Ended,5192,1611168565789,January 8 2017,,,,
