BackerKit Link,RPGGeek List Item,Type,Non-5E: For RPG,RPG: related to,Project Name,Ended Date,Funding Level,Funding Goal,Project Status,Project Blurb,Image URL,,Currency,Funding Level,Exchange Rate,FundingLevelUSD,Goal Level,Reached Goal?,Progress,Success?,Real Funding USD,RPGGeek Entry Code,OSR Original,OSR Scene
https://www.backerkit.com/c/projects/jay-dragon/new-project-by-possum-creek,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379523#11379523,RPG,,,Inscrutable Cities by Julian K. Jarboe,"Dec 22, 2022","$43,454","$6,000",Project Ended,A fabulist solo role-playing game about traveling through an impossible city of your dreams.,https://bk-prod.imgix.net/active_storage/backerkit_production/blob/5c7jdxxllw6w0m3wl78tgnb4bjub?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"43,454.00",1.0000,"$43,454.00",6000.00,Y,724.23%,Y,"$43,454.00",[size=14][b][url=https://www.backerkit.com/c/projects/jay-dragon/new-project-by-possum-creek]Inscrutable Cities by Julian K. Jarboe[/url][/b][/size][q]A fabulist solo role-playing game about traveling through an impossible city of your dreams.[/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/5c7jdxxllw6w0m3wl78tgnb4bjub?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ,,
https://www.backerkit.com/c/projects/9th-level-games/Kobolds-Ate-My-Baby-Polymorph-Edition,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11470423#11470423,RPG,,https://rpggeek.com/rpgsystem/63110/powered-by-polymorph,Kobolds Ate My Baby!,February 23 2023,"$101,829","$6,900",Project Ended,"The cult classic Kobolds Ate My Baby returns with a new edition powered by polymorph. Its faster, easier, and funnier than ever! All Hail King Torg!",https://bk-prod.imgix.net/active_storage/backerkit_production/blob/s8fj88qc5vie4o3tsrf7yyeqg0fv?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"101,829.00",1.0000,"$101,829.00",6900.00,Y,1475.78%,Y,"$101,829.00","[size=14][b][url=https://www.backerkit.com/c/projects/9th-level-games/Kobolds-Ate-My-Baby-Polymorph-Edition]Kobolds Ate My Baby![/url][/b][/size][q]The cult classic Kobolds Ate My Baby returns with a new edition powered by polymorph. Its faster, easier, and funnier than ever! All Hail King Torg![/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/s8fj88qc5vie4o3tsrf7yyeqg0fv?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ",,
https://www.backerkit.com/c/projects/green-ronin-publishing/the-fifth-season-roleplaying-game,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379525#11379525,RPG,,https://rpggeek.com/rpgsystem/12882/age-adventure-game-engine-system,The Fifth Season Roleplaying Game,"Feb 24, 2023","$175,640","$50,000",Project Ended,N.K. Jemisin’s multiple Hugo Award-winning Broken Earth Trilogy comes to tabletop RPGs in The Fifth Season Roleplaying Game!,https://bk-prod.imgix.net/active_storage/backerkit_production/blob/kf6ufzhkwfd0etdqrwwm7aayl6tv?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"175,640.00",1.0000,"$175,640.00",50000.00,Y,351.28%,Y,"$175,640.00",[size=14][b][url=https://www.backerkit.com/c/projects/green-ronin-publishing/the-fifth-season-roleplaying-game]The Fifth Season Roleplaying Game[/url][/b][/size][q]N.K. Jemisin’s multiple Hugo Award-winning Broken Earth Trilogy comes to tabletop RPGs in The Fifth Season Roleplaying Game![/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/kf6ufzhkwfd0etdqrwwm7aayl6tv?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ,,
https://www.backerkit.com/c/projects/monte-cook-games/adventures-in-the-cypher-system,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379529#11379529,RPG,,https://rpggeek.com/rpgsystem/25932/cypher-system,Adventures in the Cypher System,"Feb 25, 2023","$711,366","$50,000",Project Ended,"The Cypher System is about to become your new favorite TTRPG. With a new Starter Set, a DELUXE Cypher System Rulebook, and two striking new genre books, this campaign has something for everyone—new fans and Cypher System veterans alike!",https://bk-prod.imgix.net/active_storage/backerkit_production/blob/jz1ru6vqz97njaim0w6144zt0jjt?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"711,366.00",1.0000,"$711,366.00",50000.00,Y,1422.73%,Y,"$711,366.00","[size=14][b][url=https://www.backerkit.com/c/projects/monte-cook-games/adventures-in-the-cypher-system]Adventures in the Cypher System[/url][/b][/size][q]The Cypher System is about to become your new favorite TTRPG. With a new Starter Set, a DELUXE Cypher System Rulebook, and two striking new genre books, this campaign has something for everyone—new fans and Cypher System veterans alike![/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/jz1ru6vqz97njaim0w6144zt0jjt?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ",,
https://www.backerkit.com/c/projects/evil-hat/codex-of-worlds,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11379530#11379530,non-5E,https://rpggeek.com/rpg/17708/monster-of-the-week,,Monster of the Week: Codex of Worlds,"Mar 15, 2023","$213,142","$30,000",Project Ended,"The Codex includes new content to bring different styles and settings to your Monster of the Week games. It’s written by Michael Sands and Marek Golonka, and being developed in partnership with Evil Hat Productions.",https://bk-prod.imgix.net/active_storage/backerkit_production/blob/jvxoz9h9r77yqy4xdvnciyrscbka?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"213,142.00",1.0000,"$213,142.00",30000.00,Y,710.47%,Y,"$213,142.00","[size=14][b][url=https://www.backerkit.com/c/projects/evil-hat/codex-of-worlds]Monster of the Week: Codex of Worlds[/url][/b][/size][q]The Codex includes new content to bring different styles and settings to your Monster of the Week games. It’s written by Michael Sands and Marek Golonka, and being developed in partnership with Evil Hat Productions.[/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/jvxoz9h9r77yqy4xdvnciyrscbka?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ",,
https://www.backerkit.com/c/projects/storytellers-forge-studios/the-black-ballad,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11382349#11382349,5E,,,The Black Ballad,"Apr 6, 2023","$155,545","$65,000",Project Ended,"The perfect campaign to run after a TPK! If death awaits all adventurers, then the salvation of resurrection is always the hope.",https://bk-prod.imgix.net/active_storage/backerkit_production/blob/x0mwak508e9ib1azuzrame9gyl9l?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"155,545.00",1.0000,"$155,545.00",65000.00,Y,239.30%,Y,"$155,545.00","[size=14][b][url=https://www.backerkit.com/c/projects/storytellers-forge-studios/the-black-ballad]The Black Ballad[/url][/b][/size][q]The perfect campaign to run after a TPK! If death awaits all adventurers, then the salvation of resurrection is always the hope.[/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/x0mwak508e9ib1azuzrame9gyl9l?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ",,
https://www.backerkit.com/c/projects/nerdburger-games/die-laughing-supplement,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11382353#11382353,non-5E,https://rpggeek.com/rpg/51718/die-laughing,,Die Laughing 2: Die Laughinger,"Apr 6, 2023","$3,297","$1,000",Project Ended,"A supplement for Die Laughing, the GM-less, horror-comedy RPG that puts the laughter in slaughter! Core game book available, too.",https://bk-prod.imgix.net/active_storage/backerkit_production/blob/jsvofpg6d8jgz4ki0cs45nnhcoz2?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"3,297.00",1.0000,"$3,297.00",1000.00,Y,329.70%,Y,"$3,297.00","[size=14][b][url=https://www.backerkit.com/c/projects/nerdburger-games/die-laughing-supplement]Die Laughing 2: Die Laughinger[/url][/b][/size][q]A supplement for Die Laughing, the GM-less, horror-comedy RPG that puts the laughter in slaughter! Core game book available, too.[/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/jsvofpg6d8jgz4ki0cs45nnhcoz2?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ",,
https://www.backerkit.com/c/projects/onyx-path/trinity-continuum-player-s-guide,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11382358#11382358,non-5E,https://rpggeek.com/rpg/46691/trinity-continuum,,Trinity Continuum Player's Guide (Tabletop RPG),"Apr 20, 2023","€43,918","$15,000",Project Ended,"The Trinity Continuum Player’s Guide is a new rules expansion, taking your Trinity Continuum RPG to the next level!",https://bk-prod.imgix.net/active_storage/backerkit_production/blob/u2d1uitjnautkwpqbidn2nz7k7b3?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,EUR,"43,918.00",1.0968,"$48,168.82",15000.00,Y,292.79%,Y,"$48,168.82","[size=14][b][url=https://www.backerkit.com/c/projects/onyx-path/trinity-continuum-player-s-guide]Trinity Continuum Player's Guide (Tabletop RPG)[/url][/b][/size][q]The Trinity Continuum Player’s Guide is a new rules expansion, taking your Trinity Continuum RPG to the next level![/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/u2d1uitjnautkwpqbidn2nz7k7b3?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ",,
https://www.backerkit.com/c/projects/drowning-moon-studios/wayfaring-strange,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11382363#11382363,RPG,,,Wayfaring Strange,"Apr 27, 2023","$12,100","$4,500",Project Ended,"A tabletop roleplaying game about folk magic, urban legends, hidden highways and survival in liminal America",https://bk-prod.imgix.net/active_storage/backerkit_production/blob/wf6zqv90ds9f6vkd50fem65j723u?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"12,100.00",1.0000,"$12,100.00",4500.00,Y,268.89%,Y,"$12,100.00","[size=14][b][url=https://www.backerkit.com/c/projects/drowning-moon-studios/wayfaring-strange]Wayfaring Strange[/url][/b][/size][q]A tabletop roleplaying game about folk magic, urban legends, hidden highways and survival in liminal America[/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/wf6zqv90ds9f6vkd50fem65j723u?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ",,
https://www.backerkit.com/c/projects/mr-tarrasque/isle-of-the-dreaded-accursed-for-the-cypher-system,https://rpggeek.com/geeklist/349562/backerkit-rpg-projects?itemid=11382375#11382375,non-5E,https://rpggeek.com/rpg/27818/the-cypher-system,,Isle of the Dreaded Accursed; Cypher System,"May 23, 2023","$5,915","€5,000",Project Ended,Bring an end to the wrath of the evil sea goddess Elvirath in this fantasy adventure for the Cypher System.,https://bk-prod.imgix.net/active_storage/backerkit_production/blob/rlusi1smanuarnhuo1xqjxvrfkdw?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896,,USD,"5,915.00",1.0000,"$5,915.00",5000.00,Y,118.30%,Y,"$5,915.00",[size=14][b][url=https://www.backerkit.com/c/projects/mr-tarrasque/isle-of-the-dreaded-accursed-for-the-cypher-system]Isle of the Dreaded Accursed; Cypher System[/url][/b][/size][q]Bring an end to the wrath of the evil sea goddess Elvirath in this fantasy adventure for the Cypher System.[/q][inlineimg]https://bk-prod.imgix.net/active_storage/backerkit_production/blob/rlusi1smanuarnhuo1xqjxvrfkdw?ixlib=rails-4.3.1&auto=compress%2Cformat&cs=srgb&lossless=true&ar=16%3A9&fit=crop&w=896[/inlineimg][hr] - ENDS ,,
