,,,1740264505004,,169,42,,0,,,,,,264,28,,,,,,,,,,,
Kickstarter Link,RPGGeek Item ID,RPGGeek Item Link,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,OSR Core,OSR Adjacent
"https://www.kickstarter.com/projects/1000694697/dungeons-and-dragons-5th-ed-campaign-starter-packa?ref=bggforums',",item3652492,,https://www.kicktraq.com/projects/1000694697/dungeons-and-dragons-5th-ed-campaign-starter-packa/,5E,,,Dungeons and Dragons 5th Ed Campaign Starter Package.,January 20 2015,Y,USD,815.00,1,815.00,Y,N,Y,$815,2716.00%,Ended,815,1612365463702,January 5 2015,,,,
"https://www.kickstarter.com/projects/1409961192/grimtooths-ultimate-traps-collection?ref=bggforums',",item3641350,,https://www.kicktraq.com/projects/1409961192/grimtooths-ultimate-traps-collection/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Grimtooth's Ultimate Traps Collection,January 28 2015,Y,USD,"170,509.00",1,"170,509.00",Y,N,Y,"$170,509",1002.00%,Ended,170509,1612365462674,January 2 2015,,,,
"https://www.kickstarter.com/projects/908838674/inspiration-a-tabletop-rpg-deck-building-game?ref=bggforums',",item3656152,,https://www.kicktraq.com/projects/908838674/inspiration-a-tabletop-rpg-deck-building-game/,RPG,,,Inspiration - A Tabletop RPG Deck Building Game,February 6 2015,Y,USD,703.00,1,703.00,Y,N,Y,$703,351.00%,Ended,703,1612365465502,January 7 2015,,,,
"https://www.kickstarter.com/projects/marktruman/the-last-days-of-anglekite-a-chaos-world-from-magp?ref=bggforums',",item3671034,,https://www.kicktraq.com/projects/marktruman/the-last-days-of-anglekite-a-chaos-world-from-magp/,non-5E,https://rpggeek.com/rpg/11105/dungeon-world,,"The Last Days of Anglekite, a Chaos World from Magpie Games",February 9 2015,Y,USD,"17,372.00",1,"17,372.00",Y,N,Y,"$17,372",868.00%,Ended,17372,1612365468423,January 13 2015,,,,
"https://www.kickstarter.com/projects/1012853766/necronomicon-horror-rpg?ref=bggforums',",item3665507,,https://www.kicktraq.com/projects/1012853766/necronomicon-horror-rpg/,RPG,,https://rpggeek.com/rpgsystem/22884/systemless-gamebooks,Necronomicon Horror RPG,February 9 2015,Y,GBP,"1,340.00",1.52149,"2,038.80",Y,N,Y,"£1,340",167.00%,Ended,2038.8,1612365467425,January 10 2015,,,,
"https://www.kickstarter.com/projects/1153118353/nefertiti-overdrive-high-octane-action-in-ancient?ref=bggforums',",item3671824,,https://www.kicktraq.com/projects/1153118353/nefertiti-overdrive-high-octane-action-in-ancient/,RPG,,,Nefertiti Overdrive: High Octane Action in Ancient Egypt,February 10 2015,Y,CAD,"4,892.00",0.79437,"3,886.06",Y,N,Y,"$4,892 CAD",163.00%,Ended,3886.06,1612365469284,January 13 2015,,,,
"https://www.kickstarter.com/projects/946041344/sol-tabletop-rpg?ref=bggforums',",item3676987,,https://www.kicktraq.com/projects/946041344/sol-tabletop-rpg/,RPG,,,Sol Tabletop RPG,February 14 2015,Y,AUD,"9,791.00",0.7767,"7,604.67",Y,N,Y,"$9,791 AUD",139.00%,Ended,7604.67,1612365470430,January 15 2015,,,,
"https://www.kickstarter.com/projects/1708940685/skybourne-a-pathfinder-campaign-setting?ref=bggforums',",item3656156,,https://www.kicktraq.com/projects/1708940685/skybourne-a-pathfinder-campaign-setting/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Skybourne: A Pathfinder Campaign Setting,February 15 2015,Y,USD,"37,260.00",1,"37,260.00",Y,N,Y,"$37,260",745.00%,Ended,37260,1612365466427,January 7 2015,,,,
"https://www.kickstarter.com/projects/885924577/sleeper-rpg-a-conspiracy-horror-tabletop-roleplayi?ref=bggforums',",item3677881,,https://www.kicktraq.com/projects/885924577/sleeper-rpg-a-conspiracy-horror-tabletop-roleplayi/,RPG,,,Sleeper RPG: A conspiracy horror tabletop roleplaying game,February 15 2015,Y,GBP,"3,582.00",1.5404,"5,517.71",Y,N,Y,"£3,582",179.00%,Ended,5517.71,1612365472133,January 16 2015,,,,
